Session Title,A03 FLU ED Encounters by State and Age 2024,,,
Session ID,2795689,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* )",,,
Session Date Range,12/31/2023 - 12/28/2024 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/19/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023 – 2024,Dec 31 – Jan 6,138
,,2024,Jan 7 – Jan 13,85
,,,Jan 14 – Jan 20,86
,,,Jan 21 – Jan 27,70
,,,Jan 28 – Feb 3,67
,,,Feb 4 – Feb 10,81
,,,Feb 11 – Feb 17,57
,,,Feb 18 – Feb 24,53
,,,Feb 25 – Mar 2,61
,,,Mar 3 – Mar 9,59
,,,Mar 10 – Mar 16,44
,,,Mar 17 – Mar 23,26
,,,Mar 24 – Mar 30,25
,,,Mar 31 – Apr 6,23
,,,Apr 7 – Apr 13,29
,,,Apr 14 – Apr 20,16
,,,Apr 21 – Apr 27,14
,,,Apr 28 – May 4,12
,,,May 5 – May 11,11
,,,May 12 – May 18,14
,,,May 19 – May 25,14
,,,May 26 – Jun 1,10 or fewer
,,,Jun 2 – Jun 8,11
,,,Jun 9 – Jun 15,10 or fewer
,,,Jun 16 – Jun 22,10 or fewer
,,,Jun 23 – Jun 29,10 or fewer
,,,Jun 30 – Jul 6,10 or fewer
,,,Jul 7 – Jul 13,10 or fewer
,,,Jul 14 – Jul 20,11
,,,Jul 21 – Jul 27,10 or fewer
,,,Jul 28 – Aug 3,10 or fewer
,,,Aug 4 – Aug 10,10 or fewer
,,,Aug 11 – Aug 17,10 or fewer
,,,Aug 18 – Aug 24,10 or fewer
,,,Aug 25 – Aug 31,10 or fewer
,,,Sep 1 – Sep 7,10 or fewer
,,,Sep 8 – Sep 14,10 or fewer
,,,Sep 15 – Sep 21,10 or fewer
,,,Sep 22 – Sep 28,13
,,,Sep 29 – Oct 5,13
,,,Oct 6 – Oct 12,18
,,,Oct 13 – Oct 19,10 or fewer
,,,Oct 20 – Oct 26,15
,,,Oct 27 – Nov 2,16
,,,Nov 3 – Nov 9,32
,,,Nov 10 – Nov 16,35
,,,Nov 17 – Nov 23,35
,,,Nov 24 – Nov 30,44
,,,Dec 1 – Dec 7,77
,,,Dec 8 – Dec 14,78
,,,Dec 15 – Dec 21,125
,,,Dec 22 – Dec 28,207
,≥ 1 and < 5 Years,2023 – 2024,Dec 31 – Jan 6,526
,,2024,Jan 7 – Jan 13,391
,,,Jan 14 – Jan 20,357
,,,Jan 21 – Jan 27,342
,,,Jan 28 – Feb 3,322
,,,Feb 4 – Feb 10,333
,,,Feb 11 – Feb 17,294
,,,Feb 18 – Feb 24,259
,,,Feb 25 – Mar 2,249
,,,Mar 3 – Mar 9,200
